Episode,Reward,Steps,Progress,AvgDist,MaxDist,Within5m%,AvgSpeed,R_Follow,R_Heading,R_Smooth,EndReason,TotalSteps
157,513.11,100,1.0000,3.50,6.80,72.0,19.27,120.99,47.88,-0.7660,completed,504092
158,3445.86,841,0.7520,2.80,7.60,82.6,19.02,1192.10,385.03,-6.2610,,507456
159,483.09,115,0.8540,2.43,6.20,93.9,19.28,174.55,54.43,-0.8827,,507916
160,43.62,6,0.8660,1.38,1.67,100.0,15.83,11.10,2.53,-0.0100,,507940
161,756.09,101,1.0000,1.65,4.06,100.0,18.19,177.35,44.60,-0.8709,completed,508344
162,3032.25,727,0.6500,2.58,9.56,90.8,19.17,1081.58,336.58,-5.9067,,511252
163,421.23,129,0.7280,3.24,6.91,79.8,19.60,165.22,61.89,-0.8784,,511768
164,858.57,297,0.8820,3.81,8.34,67.7,19.49,336.89,139.00,-2.3261,,512956
165,872.92,243,1.0000,4.05,9.12,62.6,19.37,262.55,117.01,-1.6363,completed,513928
166,1055.79,222,0.2380,2.01,4.32,100.0,19.10,367.73,100.64,-2.5725,,514816
167,1336.57,332,0.5140,2.54,7.30,90.4,19.43,495.33,154.39,-3.1631,,516144
168,2235.29,540,0.9800,2.43,6.62,96.3,19.47,822.92,252.06,-4.7000,,518304
169,297.36,24,1.0000,2.49,4.52,100.0,18.44,36.28,11.33,-0.2412,completed,518400
170,110.77,18,0.0300,1.35,2.24,100.0,18.23,33.10,8.03,-0.3638,,518472
171,1831.76,402,0.4420,2.38,6.25,93.3,19.20,619.37,185.42,-3.0347,,520080
172,2134.09,619,0.8640,3.32,9.47,77.7,19.02,795.01,288.74,-4.6610,,522556
173,178.06,45,0.9000,2.53,5.08,97.8,19.47,67.10,21.39,-0.4263,,522736
174,700.21,130,1.0000,2.61,6.11,90.8,19.37,190.55,60.77,-1.1081,completed,523256
175,1988.86,437,0.4340,2.07,4.93,100.0,19.49,712.58,200.26,-3.9757,,525004
176,2456.90,567,0.9800,2.58,8.02,86.4,18.46,839.60,256.92,-4.6216,,527272
177,8.59,2,0.9820,1.94,3.82,100.0,19.84,3.12,0.49,-0.0161,,527280
178,292.76,26,1.0000,2.97,5.54,84.6,18.35,35.55,12.42,-0.2146,completed,527384
179,2186.75,435,0.5040,1.82,4.51,100.0,19.29,741.80,193.77,-3.8193,,529124
180,2402.63,672,0.9900,3.23,9.77,78.6,18.52,879.81,313.53,-5.7138,,531812
181,255.10,18,1.0000,3.53,6.89,72.2,17.49,21.74,8.56,-0.2048,completed,531884
182,116.84,26,0.0280,2.40,3.80,100.0,19.50,40.17,12.24,-0.5790,,531988
183,1624.45,355,0.3820,2.06,4.84,100.0,19.48,579.48,163.26,-3.3007,,533408
184,2270.60,499,0.8960,2.42,8.65,88.6,18.94,765.35,223.65,-3.3986,,535404
185,768.01,182,1.0000,3.45,7.00,73.1,19.18,222.61,87.08,-1.6862,completed,536132
186,543.33,110,0.1260,1.94,4.26,100.0,19.31,184.31,50.03,-1.0088,,536572
187,2283.79,508,0.6220,2.16,5.25,98.0,19.41,814.43,233.96,-4.5952,,538604
188,1491.60,336,0.9420,2.13,4.95,100.0,19.49,541.26,153.15,-2.8076,,539948
189,473.03,62,1.0000,2.07,4.49,100.0,18.91,101.04,27.65,-0.6527,completed,540196
190,1302.83,333,0.2660,2.57,6.14,96.7,19.51,493.02,153.04,-3.2299,,541528
191,710.24,177,0.4120,2.52,5.45,96.6,19.58,264.83,81.92,-1.5150,,542236
192,1743.06,470,0.7620,2.92,8.10,85.3,18.93,650.80,221.12,-3.8591,,544116
193,1340.36,280,1.0000,2.57,8.20,92.5,19.13,416.75,131.07,-2.4650,completed,545236
194,897.41,236,0.1800,2.63,5.91,95.3,19.48,343.84,110.87,-2.2978,,546180
195,1853.77,440,0.5680,2.30,5.39,98.4,19.49,686.71,200.88,-3.8139,,547940
196,380.81,109,0.6440,3.32,8.02,75.2,17.31,139.96,51.75,-0.9028,,548376
197,1980.13,477,1.0000,2.84,7.93,86.0,19.19,669.76,224.01,-3.6394,completed,550284
198,612.53,93,0.1640,1.32,3.25,100.0,16.18,171.18,37.01,-0.6567,,550656
199,1739.79,418,0.5400,2.65,7.82,86.1,18.97,611.38,191.19,-2.7791,,552328
200,303.21,94,0.5980,3.49,7.85,73.4,19.12,115.48,43.46,-0.7321,,552704
201,2084.86,469,1.0000,2.77,7.34,84.6,18.96,667.39,216.47,-4.0031,completed,554580
202,2.30,2,0.0020,4.99,5.80,50.0,14.08,1.52,0.96,-0.1766,,554588
203,1725.71,474,0.3400,2.84,7.22,89.0,19.46,662.54,222.23,-4.0560,,556484
204,3441.97,883,1.0000,3.09,9.55,81.7,18.67,1189.74,409.27,-7.0503,completed,560016
205,4883.91,1096,1.0000,2.35,7.52,95.5,19.31,1695.06,504.35,-10.5000,completed,564400
206,5018.07,1260,1.0000,2.93,9.57,84.1,18.43,1749.96,584.31,-11.2064,completed,569440
207,4070.32,1722,0.8240,26.87,83.80,52.1,12.76,1472.50,581.31,-38.4914,,576328
208,65.89,565,0.8240,91.34,99.87,0.0,0.42,0.00,73.20,-7.3150,,578588
209,52.24,474,0.8240,107.59,113.51,0.0,0.40,0.00,57.38,-5.1354,,580484
